"Laikotarpis","Kiekis, kg"
2005-01-01,917.0
2005-02-01,2313.0
2005-03-01,1544.0
2005-04-01,634.0
2005-05-01,314.0
2005-06-01,1206.0
2005-07-01,5399.0
2005-08-01,5871.0
2005-09-01,1468.0
2005-10-01,506.0
2005-11-01,815.0
2005-12-01,0.0
2006-01-01,2240.0
2006-02-01,2281.0
2006-03-01,864.0
2006-04-01,1407.0
2006-05-01,0.0
2006-06-01,2561.0
2006-07-01,9880.0
2006-08-01,1409.0
2006-09-01,729.0
2006-10-01,583.0
2006-11-01,638.0
2006-12-01,1202.0
2007-01-01,5191.0
2007-02-01,3001.0
2007-03-01,2956.0
2007-04-01,753.0
2007-05-01,3622.0
2007-06-01,6530.0
2007-07-01,13504.0
2007-08-01,10931.0
2007-09-01,7853.0
2007-10-01,1875.0
2007-11-01,0.0
2007-12-01,4123.0
2008-01-01,61.0
2008-02-01,1561.0
2008-03-01,3401.0
2008-04-01,1777.0
2008-05-01,286.0
2008-06-01,4329.0
2008-07-01,26270.0
2008-08-01,15139.0
2008-09-01,3733.0
2008-10-01,1768.0
2008-11-01,478.0
2008-12-01,23.0
2009-01-01,2533.0
2009-02-01,1334.0
2009-03-01,4181.0
2009-04-01,2369.0
2009-05-01,1360.0
2009-06-01,3751.0
2009-07-01,16984.0
2009-08-01,14621.0
2009-09-01,4140.0
2009-10-01,1295.0
2009-11-01,1189.0
2009-12-01,677.0
2010-01-01,4627.0
2010-02-01,2817.0
2010-03-01,4767.0
2010-04-01,2725.2
2010-05-01,1739.0
2010-06-01,5271.0
2010-07-01,26667.0
2010-08-01,12004.0
2010-09-01,2147.0
2010-10-01,1152.0
2010-11-01,573.0
2010-12-01,832.0
2011-01-01,2605.0
2011-02-01,2177.0
2011-03-01,2249.0
2011-04-01,765.0
2011-05-01,696.2
2011-06-01,8294.0
2011-07-01,17395.0
2011-08-01,14590.0
2011-09-01,2679.0
2011-10-01,772.0
2011-11-01,1493.0
2011-12-01,2549.0
2012-01-01,2851.0
2012-02-01,3330.0
2012-03-01,3029.0
2012-04-01,2353.0
2012-05-01,2981.0
2012-06-01,16482.0
2012-07-01,27560.0
2012-08-01,9060.0
2012-09-01,5090.0
2012-10-01,1290.0
2012-11-01,1681.0
2012-12-01,1698.0
2013-01-01,4488.0
2013-02-01,4241.0
2013-03-01,2241.0
2013-04-01,4210.0
2013-05-01,6133.0
2013-06-01,16231.0
2013-07-01,16541.0
2013-08-01,6192.0
2013-09-01,3603.0
2013-10-01,2114.0
2013-11-01,1158.0
2013-12-01,635.0
2014-01-01,2557.0
2014-02-01,143.0
2014-03-01,1531.0
2014-04-01,2779.0
2014-05-01,9806.0
2014-06-01,27837.0
2014-07-01,23449.0
2014-08-01,4601.0
2014-09-01,3810.0
2014-10-01,1276.0
2014-11-01,998.0
2014-12-01,1559.0
2015-01-01,2890.0
2015-02-01,2128.0
2015-03-01,4211.0
2015-04-01,1793.0
2015-05-01,2871.0
2015-06-01,15257.0
2015-07-01,19602.0
2015-08-01,10657.0
2015-09-01,2527.0
2015-10-01,2003.0
2015-11-01,1855.0
2015-12-01,4747.0
2016-01-01,2724.0
2016-02-01,4355.0
2016-03-01,4657.0
2016-04-01,6404.0
2016-05-01,2849.0
2016-06-01,13409.0
2016-07-01,23018.0
2016-08-01,8575.0
2016-09-01,6270.0
2016-10-01,1811.0
2016-11-01,2889.0
2016-12-01,2078.0
2017-01-01,4979.0
2017-02-01,5760.0
2017-03-01,5964.0
2017-04-01,4063.5
2017-05-01,8267.0
2017-06-01,10835.0
2017-07-01,22033.0
2017-08-01,15163.0
2017-09-01,7714.2
2017-10-01,4737.0
2017-11-01,2345.0
2017-12-01,2600.0
2018-01-01,6275.0
2018-02-01,3888.0
2018-03-01,2655.0
2018-04-01,4077.0
2018-05-01,1945.0
2018-06-01,32996.0
2018-07-01,17269.0
2018-08-01,9243.0
2018-09-01,5221.0
2018-10-01,3518.0
2018-11-01,2546.0
2018-12-01,2087.0
2019-01-01,301.0
2019-02-01,438.0
2019-03-01,338.0
2019-04-01,388.0
2019-05-01,1225.0
2019-06-01,584.0
2019-07-01,4380.0
2019-08-01,4993.0
2019-09-01,1158.0
2019-10-01,216.0
2019-11-01,585.0
2019-12-01,474.0
2020-01-01,605.0
2020-02-01,818.0
2020-03-01,739.0
2020-04-01,746.0
2020-05-01,526.0
2020-06-01,774.6
2020-07-01,5684.0
2020-08-01,2662.0
2020-09-01,772.0
2020-10-01,144.0
2020-11-01,342.0
2020-12-01,131.9
2021-01-01,400.0
2021-02-01,494.0
2021-03-01,462.9
2021-04-01,575.0
2021-05-01,110.0
2021-06-01,651.0
2021-07-01,6913.0
2021-08-01,5389.0
2021-09-01,406.9
2021-10-01,0.0
2021-11-01,23.0
2021-12-01,43.0
2022-01-01,1.0
2022-02-01,371.0
2022-03-01,863.2
2022-04-01,170.0
2022-05-01,198.8
2022-06-01,319.2
2022-07-01,12354.1
2022-08-01,607.5
2022-09-01,794.9
2022-10-01,162.0
2022-11-01,44.3
2022-12-01,90.0
